Item_Name,class,Brand,Weight,Number of units,Size of units,Price,T.Price,Pack,Unit
Fruit Chewy Candies - 38g - 14 Pcs,"Chocolates, Sweets & Desserts",,38g,14,,,,عبوة,g
دومتى اسطنبولى 1 كجم تتراباك,Dairy & Eggs,دومتي,1كجم,1,,,,تتراباك,كجم
مشروب غازى سبرايت ليمون 950مل,Soft Drinks & Juices,سبرايت,950مل,1,,,,زجاجة,مل
نستله فيز مياه فوارة بطعم التوت 360 ملل,Water,نستله,360ملل,1,,,,زجاجة,ملل
صن شاين اكسبريس تونه قطعه واحده 160جم ,"Tins, Jars & Packets",صن شاين,160جم,1,,,,علبة,جم
Chamsine Egyptian Rice 5kg,"Rice, Pasta & Pulses",Chamsine,5Kg,1,,,,كيس,Kg
تاو تاو شوكلاته بالاوريو 1ق,"Chocolates, Sweets & Desserts",تاو تاو,,1,,,,عبوة,
Feba Plus Oxygen Dishwashing Liquid - 520 gm,Cleaning Supplies,Feba,520 gm,1,,,,عبوة,gm
فريك مجروش - 500 جم,"Rice, Pasta & Pulses",,500جم,1,,,,كيس,جم
نبته قمح مبشور 500جم,"Rice, Pasta & Pulses",نبته,500جم,1,,,,كيس,جم
بسمة بامية ممتازه 400 جم,Vegetables & Fruits,بسمة,400جم,1,,,,عبوة,جم
بيبسي دايت 330مل,Soft Drinks & Juices,بيبسي,330مل,1,,,,زجاجة,مل
بطاطس شيبسي بالجبنة المتبلة - 48جم,Chips & Crackers,شيبسي,48جم,1,,,,كيس,جم
بسكو مصر كوكا لوفر ساندوتش,Biscuits & Cakes,بسكو مصر كوكا لوفر,,1,,,,باكو,
اطياب لحم مفروم 350 جم,Beef & Processed Meat,اطياب,350جم,1,,,,عبوة,جم
حواء مكرونه شريط 400جم,"Rice, Pasta & Pulses",حواء,400جم,1,,,,كيس,جم
كيندر ماكسي شوكولاتة، 21 جم - 36 عبوة,"Chocolates, Sweets & Desserts",كيندر,21جم,36,,,,عبوة,جم
نستله نسكافيه كلاسيك برطمان 50G,"Tea, Coffee & Hot Drinks",نسكافيه,50G,1,,,,علبة,G
زيتون المروة كالاماتا دولسي 1 كجم,"Tins, Jars & Packets",المروة,1كجم,1,,,,عبوة,كجم
حلواني لانشون زيتون بالوزن,Beef & Processed Meat,حلواني,,1,,,,عبوة,
فن داي اصابع بسكويت بالجبن 40 جم,Biscuits & Cakes,فن داي,40جم,1,,,,باكو,جم
California Garden Foul Lebanese Recipe 400g,"Tins, Jars & Packets",California Garden,400gm,1,,,,عبوة,gm
"Halwani Chicken Cordon Bleu, 400 Gm",Poultry,Halwani,400Gm,1,,,,عبوة,Gm
تيفانى 19 ج,Biscuits & Cakes,تيفاني,19ج,1,,,,,ج
1.95 1.95 1 كيك كوكو بوبس رول فانيليا 1 ق,Biscuits & Cakes,كوكو بوبس,,1,,1.95,1.95,باكو,
زجاجي انامل بحري 7047,"Personal care, skin & body care",,,1,,,,زجاجي,
تويلكز كيك علبه 12 ق,Biscuits & Cakes,تويلكز,,12,,,,باكو,
ساكلا صلصة الباستا ١٩٠ جم,"Tins, Jars & Packets",ساكلا,190جم,1,,,,,جم
ايجى جاردن مشروم قطع وشرائح 800جم,"Tins, Jars & Packets",ايجى جاردن,800جم,1,,,,علبة,جم
Rehana Lupin 500g,"Rice, Pasta & Pulses",Rehana,500g,1,,,,كيس,g
دساني مياه 330*24,Water,دساني,330مل,24,,,,عبوة,مل
Menthol Flavored Candy - 25gm - 20 Pcs,"Chocolates, Sweets & Desserts",,25g,1,,,,عبوة,g
جهينه بيور غير محلى مانجو &amp; خوخ 235 مل,Soft Drinks & Juices,جهينه,235مل,1,,,,عبوة,مل
شويبس جولد خوخ بلاستيك ,Soft Drinks & Juices,شويبس,,1,,,,زجاجة,
Roasty Chicken Pane - 350 gram,Poultry,Roasty,350gram,1,,,,عبوة,gram
87.95 برسيل 2.5ك عرض,Cleaning Supplies,برسيل,2.5ك,1,,87.95,87.95,عبوة,ك
Amada Sticks With Chocolate   Hazelnuts - 32 gm,Biscuits & Cakes,Amada,32gm,1,,,,باكو,gm
Nestle Nescafe Gold Decaffeinated 34 gm,"Tea, Coffee & Hot Drinks",Nescafe,34gm,1,,,,عبوة,gm
شيبسى روو عائلى بالخل ,Chips & Crackers,شيبسى روو,,1,,,,كيس,
T 8.05 هارفست خل 1لتر (M),"Sauces, Dressings & Condiments",هارفست,1لتر,1,,8.05,8.05,عبوة,لتر
زيت ذره كريستال 800مم,Cooking Ingredients,كريستال,800مل,1,,,,علبة,مل
سنيكرس بالسودانى 50جم,"Chocolates, Sweets & Desserts",سنيكرس,50جم,1,,,,عبوة,جم
ديلى عصير فراوله ,Soft Drinks & Juices,ديلى,,1,,,,زجاجة,
نستلة كرتونة مياة 600ملى 46.00 1 46.00,Water,نستلة,600مل,1,,46,46,زجاجة,مل
فرجللو شرائح بسطرمة 150 جم,Beef & Processed Meat,فرجللو,150جم,1,,,,عبوة,جم
موز مستورد كبب\ير ,Vegetables & Fruits,,,1,,,,كيس,
Abukass Indian Mazza Basmati Rice 10kg,"Rice, Pasta & Pulses",Abukass,10kg,1,,,,كيس,kg
Chicketita Beef Burger - 1Kg,Beef & Processed Meat,Chicketita,1Kg,1,,,,عبوة,Kg
الضحى فول تدميس جم500 Quantity,"Rice, Pasta & Pulses",الضحى,,1,,,,كيس,
انواع اويكو زبادي يوناني انواع 170 جرام,Dairy & Eggs,اويكو,170جرام,1,,,,عبوة,جرام
شاهين قهوه ساده فاتح 100 جم,"Tea, Coffee & Hot Drinks",شاهين,100جم,1,,,,علبة,جم
همتو مصاصة دبل 4 9.00,"Chocolates, Sweets & Desserts",همتو,,1,,9,9,عبوة,
وينكس منظف 500م,Cleaning Supplies,وينكس,500م,1,,,,عبوة,م
اربياتا فول ساده علبه,"Tins, Jars & Packets",اربياتا,,1,,,,علبه,
3.50 1.75 2 بيك رولز كاشب 34-30 جم,Chips & Crackers,بيك رولز,34-30 جم,2,,1.75,3.5,كيس,جم
جولد لتر 1 11 11,Soft Drinks & Juices,,1لتر,1,,11,11,عبوة,لتر
علبه 1 /2 جبن مطبوخ سادة,Dairy & Eggs,,,1,,,,علبه,
1  Sauce  Caesar >>,"Sauces, Dressings & Condiments",,,1,,,,عبوة,
امريكانا خضار مشكل 400 جم,Vegetables & Fruits,امريكانا,400جم,1,,,,عبوة,جم
لاكتيل دويتو مشروب زبادى بالخوخ 420مل,Dairy & Eggs,لاكتيل,420مل,1,,,,علبة,مل
زجاجه مياه بلاستيك 600 مل ,Furniture,,600مل,1,,,,بلاستيك,مل
دجاج بانيه حلواني - 1 كجم,Poultry,حلواني,1كجم,1,,,,عبوة,كجم
تويننجز شاى افطار اتقل 25,"Tea, Coffee & Hot Drinks",تويننجز,,25,,,,علبة,
بربيكان شراب شعير  زجاج 330 مل,Soft Drinks & Juices,بربيكان,330مل,1,,,,كان,مل
كيك توداي جولديز بكريمة الحليب، 1 قطعة - 12 عبوة,Biscuits & Cakes,توداي,,12,,,,عبوة,
Almarai Samboussek With Cheese - 280 gm,Bakery,Almarai,280 gm,1,,,,عبوة,gm
لوكر شوكولاتة دارك - 55 جم,Biscuits & Cakes,لوكر,55جم,1,,,,باكو,جم
اب جوس عصير بودرة بنكهه المانجو وزن,Soft Drinks & Juices,اب جوس,,1,,,,عبوة,
دومتى عصير مانجو 235مل,Soft Drinks & Juices,دومتى,235مل,1,,,,عبوة,مل
هلا عباد 2.25لتر,Cooking Ingredients,هلا,2.25لتر,1,,,,عبوة,لتر
سلطة حمص مامز فود - 300جم,"Tins, Jars & Packets",مامز فود,300جم,1,,,,عبوة,جم
Ahmad Tea English No.1 Tea Bags - 50 Count,"Tea, Coffee & Hot Drinks",Ahmed tea,,50,,,,,Count
بطاطس كرانشي بالشطة والليمون - 43جم,Chips & Crackers,كرانشي,43جم,1,,,,كيس,جم
Cadbury Dairy Milk Minis Chocolate 192g,"Chocolates, Sweets & Desserts",Cadbury,192g,1,,,,عبوة,g
سمن طبيعى قتيلو 450جم,Cooking Ingredients,قتيلو,450جم,1,,,,عبوة,جم
بيج تايجر شطه  وليمون,Chips & Crackers,تايجر,,1,,,,كيس,
جهينة كلاسيك تفاح وكمثرى 3.95,Soft Drinks & Juices,جهينة,,1,,3.95,3.95,عبوة,
برايم فودز بسطرمة فاخر ,Beef & Processed Meat,برايم فودز,,1,,,,عبوة,
فاى علب 300 منديل,Disposables & Napkins,فاي,,300,,,,علب,
كرات اللبنة اللبنانية في الزيت 250 جم,"Tins, Jars & Packets",,250جم,1,,,,عبوة,جم
Hot GRispy Allumete Frites2.5k ,Vegetables & Fruits,Hot GRispy,2.5kg,1,,,,كيس,kg
شاي يوركشاير أسود 100 كيس,"Tea, Coffee & Hot Drinks",,,100,,,,كيس,
SHAHD CHICKEN FILET REG 400 G,Poultry,SHAHD,400G,1,,,,عبوة,G
كاتشب درة - 230جم,"Sauces, Dressings & Condiments",درة,230جم,1,,,,عبوة,جم
سلطانه ايس كريم شيكولاته براوني 1لتر,"Chocolates, Sweets & Desserts",سلطانه,1لتر,1,,,,عبوة,لتر
بريل شعير زجاج ٢٧٥ ملي 7.00 2.00 14.00,Cleaning Supplies,بريل,275ملي,2,,7,14,عبوة,ملي
بيبسى بلاستيك 250 مل,Soft Drinks & Juices,بيبسي,250مل,1,,,,بلاستيك,مل
كولد ستون ايس كريم كونو كراميل شيكولاته,"Chocolates, Sweets & Desserts",كولد ستون,,1,,,,عبوة,
ماجى مرقه 48مكعب دجاج,Cooking Ingredients,ماجى,,48,,,,عبوة,
اكسترا يدوى 450ج,Cleaning Supplies,اكسترا,450ج,1,,,,عبوة,ج
كاليفورنيا سردين ,"Tins, Jars & Packets",كاليفورنيا,,1,,,,علبة,
علبه صغيره,Furniture,,,1,صغيره,,,علبه,صغيره
باب الشام السبع بهارات ملاحه 40GM,Cooking Ingredients,باب الشام,40gm,1,,,,عبوة,gm
علبه فول محوج,"Tins, Jars & Packets",,,1,,,,علبه,
Nosh Nosh Salt and Vinegar Potatoes 56gm-50gm ,Chips & Crackers,Nosh Nosh,56-50gm,1,,,,كيس,gm
هاينز تشيلي مايونيز,"Sauces, Dressings & Condiments",هاينز,,1,,,,عبوة,
كوسة خضراء محلية 500 جم,Vegetables & Fruits,,500جم,1,,,,عبوة,جم
الزهار ,Bakery,الزهار ,,1,,,,كيس,
"El Maleka Pasta Stripy Rings, 1 Kg","Rice, Pasta & Pulses",El Maleka,1Kg,1,,,,كيس,Kg
شويبس جولد اناناس 1 لتر,Soft Drinks & Juices,شويبس,1لتر,1,,,,زجاجة,لتر
هولز نعناع منتول كبير 9 حبات,"Chocolates, Sweets & Desserts",هولز,,9,,,,عبوة,
كلورتس لبان نعناع هادي 10 قطعه,"Chocolates, Sweets & Desserts",كلورتس,,10,,,,عبوة,
نسكافية كلاسيك علبة,Tea and Coffee,نسكافيه,,1,,,,علبة,
كابوتشينو  كوفي بريك بالبندق - 18.5جم,"Tea, Coffee & Hot Drinks",كوفي بريك,18.5جم,1,,,,علبة,جم
بيبسى كانز 330مل ,Soft Drinks & Juices,بيبسى,330مل,1,,,,زجاجة,مل
رويال مكرونه شعريه 1كجم,"Rice, Pasta & Pulses",رويال,1كجم,1,,,,كيس,كجم
السنبلة بسلة بالجزر 400 جم,Vegetables & Fruits,السنبلة,400جم,1,,,,عبوة,جم
بيبسى زجاج 350 مل,Soft Drinks & Juices,بيبسي,350مل,1,,,,زجاج,مل
دبوس علبه,Poultry,,,1,,,,علبه,
المتحده خيار وزن,Vegetables & Fruits,المتحدة,,1,,,,,
Lurpak Butter Block Unsalted 400g,Cooking Ingredients,Lurpak,400g,1,,,,عبوة,g
Blendy single guava juice 250 ml ,Soft Drinks & Juices,Blendy,250مل,1,,,,زجاجة,مل
دلما شاي سيلاني ذهبي فاخر 200 جم,"Tea, Coffee & Hot Drinks",دلما,200جم,1,,,,عبوة,جم
1 فيري الترا المركز 650 جم 28.00 28.00,Cleaning Supplies,فيري,650جم,1,,28,28,عبوة,جم
كاتشب حار من هيرمان - 340 جرام,"Sauces, Dressings & Condiments",هيرمان,340جم,1,,,,عبوة,جم
هالى بسكويت مارشميلو 64جم,Biscuits & Cakes,هالى,64جم,1,,,,باكو,جم
FARAGELLO BEEF BURGER FAMILY 1KG,Beef & Processed Meat,FARAGELLO,1kg,1,,,,عبوة,kg
سبينيس فاليو مكرونه اسباجتى,"Rice, Pasta & Pulses",سبينيس,,1,,,,كيس,
لبن نيوزلاندى ٥٠٠جم ١ ٤٤ ٤٤,Dairy & Eggs,,500جم,1,,44,44,علبة,جم
اللحيمى لانشون دجاج بالزيتون وزن,Beef & Processed Meat,اللحيمى,,1,,,,عبوة,
ميجا شيبس بسطرمه 100جم,Chips & Crackers,ميجا شيبس,100جم,1,,,,كيس,جم
Bake Rolz Nacho Cheese Crackers - 36 gram - 30 Pieces,Chips & Crackers,Bake Rolz,36gram,30,,,,كيس,gram
Rice Bag – 5 Kg,"Rice, Pasta & Pulses",,5 Kg,1,,,,كيس,Kg
Karim Fruit Cocktail 820g,"Tins, Jars & Packets",Karim ,820g,1,,,,علبة,g
بريتزل جبنة وزن 45.00 0.33 14.85,Chips & Crackers,,0.33جم,1,,14.85,45,كيس,جم
بيك رولز بطعم البيتزا 108-112 جم,Chips & Crackers,بيك رولز,108-112جم,1,,,,كيس,جم
عصير فروتى مركز,Soft Drinks & Juices,فروتى,,1,,,,زجاجة,
مانجو زبديه,Vegetables & Fruits,,,1,,,,كيس,
nestle water 600 ml,Water,nestle,600ml,1,,,,زجاجة,ml
ويندوز جبنه 93,Chips & Crackers,ويندوز,93جم,1,,,,كيس,جم
جبنة شيدر إنجليزية خفيفة 250 جم,Dairy & Eggs,,250جم,1,,,,عبوة,جم
زيت زيتون بكر ار اس - 250 مل,Cooking Ingredients,ار اس,250مل,1,,,,عبوة,مل
ريتش رويال رومى زعتر وزن,Poultry,ريتش رويال,,1,,,,عبوة,
SOFRA CHEDDAR BITES 350 G,Dairy & Eggs,SOFRA,350g,1,,,,عبوة,g
Sunbolah Spanch 400 Gm ,Bakery,Sunbolah,400g,1,,,,كيس,g
دانون زبادي طبيعي، 170 جم,Dairy & Eggs,دانون,170جرام,1,,,,عبوة,جرام
بيبسى 330 م كانز,Soft Drinks & Juices,بيبسي,330م,1,,,,كانز,م
جبنة مثلثات بريزيدن - 60+4 قطعة,Dairy & Eggs,بريزيدن,,64,,,,علبة,
زبادى بلدى 125 3.75 3 11.25,Dairy & Eggs,,125جم,1,,,,عبوة,جم
Family Life Bread Tortilla White 15 Pcs ,Bakery,Family Life,,15,,,,باكو,
زينه علب 300 منديل عرضذ,Disposables & Napkins,زينه,,300,,,,علب,منديل
حليب بودرة كامل الدسم كارفور - 300 جم,Dairy & Eggs,كارفور,300جم,1,,,,علبة,جم
مشروب فرالوه 700مل فروتس,Soft Drinks & Juices,فروتس,700مل,1,,,,عبوة,مل
LuLu White Bread Small 1pkt,Bakery,LuLu,,1,,,,عبوة,
بريتزل بطعم الباربكيو ٨٥ جم 6.75 1 6.75,Chips & Crackers,,85جم,1,,6.75,6.75,كيس,جم
Farm Fresh Minced Garlic - 400 Gram,Vegetables & Fruits,Farm Fresh,400gm,1,,,,كيس,gm
سكويز عصير تفاح 250 م ,Soft Drinks & Juices,سكويز,250مل,1,,,,زجاجة,مل
5 Minutes Caramel Sauce - 82gm,"Sauces, Dressings & Condiments",5 Minutes,82gm,1,,,,عبوة,gm
تيفاني ديلايتس بسكويت بكريمة الشوكولاته والسكر المرشوش 200 جم,Biscuits & Cakes,تيفاني,200جم,1,,,,باكو,جم
Olivia Mixed Pickled 720g ,"Tins, Jars & Packets",Olivia ,720g,1,,,,عبوة,g
مزارع دينا 250مل ,Soft Drinks & Juices,مزارع دينا,250مل,1,,,,زجاجة,مل
زبادي يوناني جهينة، 2% دسم - 105 جم,Dairy & Eggs,جهينة,105gm,1,,,,عبوة,gm
15.00 15.00 1 Water مياة معدنية,Water,,,1,,15,15,زجاجة,
كلوركس 1*5 بلافندر 700 مل 22.50 1 0.00 22.50,Cleaning Supplies,كلوركس,700مل,1,,22.5,22.5,عبوة,مل
كباب حله برازيلى ,Beef & Processed Meat,,,1,,,,عبوة,
ستار مكرونه 1ك قواقع,"Rice, Pasta & Pulses",ستار,,1,,,,كيس,
Sprite canz,Soft Drinks & Juices,Sprite,,1,,,,زجاجة,
كوكو لافرز سندوتش شكولاته ,Biscuits & Cakes,كوكو لافرز,,1,,,,باكو,
مياه طبيعية صافي، 660 مل - 20 عبوة,Water,صافي،,660مل,20,,,,عبوة,مل
اللحيمي لانشون بقري بالفلفل 1ك,Beef & Processed Meat,اللحيمي,1ك,1,,,,عبوة,ك
كريستال زيت,Cooking Ingredients,كريستال,,1,,,,عبوة,
سيتكلز حلوى توت 18جم,"Chocolates, Sweets & Desserts",سيتكلز,18جم,1,,,,عبوة,جم
Americana Peas & Carrots 400 g,Vegetables & Fruits,Americana,400g,1,,,,,g
فول بالطحينة - 400 جم,"Tins, Jars & Packets",,400جم,1,,,,عبوة,جم
Nestle Pure Life Natural Drinking Water - 1.5 Liter,Water,Nestle,1.5Litre,1,,,,زجاجة,Litre
جود فرنس سويت شيلى 500 جم,"Sauces, Dressings & Condiments",جود فرنس,500جم,1,,,,عبوة,جم
ايزيس جنزبيل 30 جم,"Tea, Coffee & Hot Drinks",ايزيس,30جم,1,,,,عبوة,جم
احمد شاى قرنفل 25 ف,"Tea, Coffee & Hot Drinks",احمد,,25,,,,علبة,
Aqua Delta Drinking Water Bottle 12 x 1.5Litre,Water,Aqua Delta,1.5Litre,12,,,,عبوة,Litre
المراعى زبادى طبيعى 105 عرض 9+3,Dairy & Eggs,المراعى,105gm,12,,,,عبوة,gm
Pretzo Pretzels Chili and Lemon Sticks - 77 gram,Chips & Crackers,Pretzels,77 gram,1,,,,,gram
هاينز مايونيز 7جم,"Sauces, Dressings & Condiments",هاينز,7جم,1,,,,عبوة,جم
Tunato Shredded Tuna In Soya Bean Oil & Brine 140g,"Tins, Jars & Packets",Tunato ,140Gram,1,,,,عبوة,Gram
شويبس محمول 1لنر,Soft Drinks & Juices,شويبس,1ل,1,,,,زجاجة,ل
ليبتون شاى اتقل 25فتله,"Tea, Coffee & Hot Drinks",ليبتون,,25,,,,عبوة,
ماجيكل جيلي ,"Chocolates, Sweets & Desserts",ماجيكل,,1,,,,عبوة,
جهينه عنب احمر 235م,Soft Drinks & Juices,جهينه,235مل,1,,,,عبوة,مل
Kalbaz Cheese Puffs - 30gm,Chips & Crackers,Kalbaz,30gm,1,,,,كيس,gm
LION CHIPS W SEASONED CHEESE 42G,Chips & Crackers,LION,42G,1,,,,كيس,G
جلاكسي شوكلاته بالبندق36جم,"Chocolates, Sweets & Desserts",جلاكسي,36جم,1,,,,عبوة,جم
Tomato Ketchup - 230g,"Sauces, Dressings & Condiments",,230g,1,,,,عبوة,g
ستار مكرونه قواقع 400جم,"Rice, Pasta & Pulses",ستار,400جم,1,,,,كيس,جم
لمار عصير برتقال 200مل,Soft Drinks & Juices,لمار,200مل,1,,,,عبوة,مل
الربيع شاى 25فتله كرتونه,"Tea, Coffee & Hot Drinks",الربيع,,25,,,,علبة,
PRESIDENT SPREAD CREAM CHE 240*2R1,Dairy & Eggs,PRESIDENT,240g,1,,,,عبوة,g
شويسب يوسفى زجاج 250 مل,Soft Drinks & Juices,شويبس,250مل,1,,,,زجاج,مل
أكوافينا مياه معدنية 600 مل,Water,اكوافينا,600مل,1,,,,,مل
Frico Gouda Cheese,Dairy & Eggs,Frico,,1,,,,علبة,
كلاس ايه ايلو كاتشب 500جم,"Sauces, Dressings & Condiments",ايلو,500جم,1,,,,عبوة,جم
ماجيكل جيلى 75ج,"Chocolates, Sweets & Desserts",ماجيكل,75جم,1,,,,عبوة,جم
كلوروكس مزيل 900مل,Cleaning Supplies,كلوروكس,900مل,1,,,,عبوة,مل
مكرونه حواء اسباجتى ,"Rice, Pasta & Pulses",حواء,,1,,,,كيس,
الضحي عدس اصفر 500 جم,"Rice, Pasta & Pulses",الضحي,500جم,1,,,,كيس,جم
بسكويت ويفر كورونا بالشيكولاتة - 8 قطع,Biscuits & Cakes,كورونا,,8,,,,عبوة,
"Three Chefs Chicken Strips Mild, 1 Kg",Poultry,Three Chefs,1Kg,1,,,,عبوة,Kg
رو بطاطس حار حلو 104-94 جم 1 10.95 10.95,Chips & Crackers,رو,104-94جم,1,,10.95,10.95,كيس,جم
ميكسى مقرمشات عائلي بطعم الكاتشب 200 جم,Chips & Crackers,ميكسى,200جم,1,,,,أكياس,جم
الماسه بوليف اوليفينا 1كجم,"Tins, Jars & Packets",اوليفينا,1كجم,1,,,,علبة,كجم
الزهار جلاش الى مجمد 250 جم علب,Bakery,الزهار,250جم,1,,,,علب,جم
ليبتون شاى 25 فتله خصم,"Tea, Coffee & Hot Drinks",ليبتون,,25,,,,عبوة,
خل بلسمك - 250 مل,"Sauces, Dressings & Condiments",,250مل,1,,,,,مل
لانشون لحم ميتلاند سادة - 400جم,Beef & Processed Meat,ميتلاند,400جم,1,,,,عبوة,جم
اطياب بيف برجر 20ق 1ك,Beef & Processed Meat,اطياب,1ك,20,,,,عبوة,ك
CHEETOS CHEESE FRIED 138G,Chips & Crackers,CHEETOS,138G,1,,,,كيس,G
هوت صوص هيرمان 88مللى,"Sauces, Dressings & Condiments",هيرمان,88مل,1,,,,عبوة,مل
لمار مشروب تفاح 200 مل,Soft Drinks & Juices,لمار,200مل,1,,,,عبوة,مل
بسكاتو بسكويت جولى,Biscuits & Cakes,بسكاتو,,1,,,,باكو,
هولز حلوى جافه بالليمون، 25.2 جرام,"Chocolates, Sweets & Desserts",هولز,25.2جرام,1,,,,عبوة,جرام
FRESH FARM LUNCHEON PLAIN1K,Beef & Processed Meat,FRESH FARM,1K,1,,,,عبوة,K
SHAHD CHICKEN FILET REG 400 G,Poultry,SHAHD,400G,1,,,,عبوة,G
2.46 فلفل حار اخضر,Vegetables & Fruits,,,1,,2.46,2.46,عبوة,
مرقه دجاج ماجى 12 مكعب,Cooking Ingredients,ماجى,,12,,,,عبوة,
رويال ليمون وزنجبيل 25 فتله,"Tea, Coffee & Hot Drinks",رويال,,25,,,,كيس,
تيفانى وافر 35ج,Biscuits & Cakes,تيفانى,35جم,1,,,,باكو,جم
